obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;label_based_generality;object_based_generality;name_based_generality;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task;Multi-object;;Precedence[activity logged task demo, activity logged task] | | |;Binary;set();set();Precedence;activity logged task demo;activity logged task;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged task': 0.507078230381012};0.5171456634998322;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task;0.522573954292706;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity logged task;9216
8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity;Multi-object;;Precedence[activity logged task demo, activity] | | |;Binary;set();set();Precedence;activity logged task demo;activity;4;{2} occurs only if it is preceded by {1};0.7502310325702032;0.795407677690188;0.0;{'activity logged task demo': 0.5272130966186523, 'activity': 0.91131991147995};0.7192665040493011;8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity;0.7044827107872282;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task (POC)'];8477e7fa-abd5-487f-a7a3-2de37642bed2_Object_activity logged task demo_Object_activity;9
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged;Multi-object;;Alternate Precedence[activity logged task social, activity logged] | | |;Binary;set();set();Alternate Precedence;activity logged task social;activity logged;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task social': 0.5398985743522644, 'activity logged': 0.5494124293327332};0.5446555018424988;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged;0.547332808801106;['Activity logged: Task (Social Connect)'];['Activity logged: Call', 'Activity logged: Email'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged;26086
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged task;Multi-object;;Alternate Precedence[activity logged task social, activity logged task] | | |;Binary;set();set();Alternate Precedence;activity logged task social;activity logged task;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task social': 0.5398985743522644, 'activity logged task': 0.507078230381012};0.5234884023666382;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged task;0.5282824192728315;['Activity logged: Task (Social Connect)'];['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity logged task;9227
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity;Multi-object;;Alternate Precedence[activity logged task social, activity] | | |;Binary;set();set();Alternate Precedence;activity logged task social;activity;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task social': 0.5398985743522644, 'activity': 0.91131991147995};0.7256092429161072;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity;0.7101911757673537;['Activity logged: Task (Social Connect)'];['Activity logged: Task (POC)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task social_Object_activity;9
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity logged;Multi-object;;Alternate Precedence[activity logged task, activity logged] | | |;Binary;set();set();Alternate Precedence;activity logged task;activity logged;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task': 0.5532997846603394, 'activity logged': 0.5494124293327332};0.5513561069965363;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity logged;0.5533633534397397;['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];['Activity logged: Call', 'Activity logged: Email'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity logged;24735
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity;Multi-object;;Alternate Precedence[activity logged task, activity] | | |;Binary;set();set();Alternate Precedence;activity logged task;activity;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task': 0.5532997846603394, 'activity': 0.91131991147995};0.7323098480701447;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity;0.7162217204059874;['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];['Activity logged: Task (POC)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task_Object_activity;8
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity_Object_activity logged;Multi-object;;Alternate Precedence[activity, activity logged] | | |;Binary;set();set();Alternate Precedence;activity;activity logged;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity': 1.0000001192092896, 'activity logged': 0.5494124293327332};0.7747062742710114;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity_Object_activity logged;0.7543785039867674;['Activity logged: Task (POC)'];['Activity logged: Call', 'Activity logged: Email'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity_Object_activity logged;26084
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task social;Multi-object;;Alternate Precedence[activity logged task demo, activity logged task social] | | |;Binary;set();set();Alternate Precedence;activity logged task demo;activity logged task social;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged task social': 0.5214481353759766};0.5243306159973145;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task social;0.5290404115404401;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task (Social Connect)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task social;29
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged;Multi-object;;Alternate Precedence[activity logged task demo, activity logged] | | |;Binary;set();set();Alternate Precedence;activity logged task demo;activity logged;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged': 0.5494124293327332};0.5383127629756927;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged;0.5416243438209806;['Activity logged: Task (Demo Preparation)'];['Activity logged: Call', 'Activity logged: Email'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged;26077
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task;Multi-object;;Alternate Precedence[activity logged task demo, activity logged task] | | |;Binary;set();set();Alternate Precedence;activity logged task demo;activity logged task;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task demo': 0.5272130966186523, 'activity logged task': 0.507078230381012};0.5171456634998322;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task;0.522573954292706;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task', 'Activity logged: Task (Call)', 'Activity logged: Task (Sent Email)', 'Activity logged: Task (On-Site Demo / Meeting)', 'Activity logged: Task (Training)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity logged task;9219
430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity;Multi-object;;Alternate Precedence[activity logged task demo, activity] | | |;Binary;set();set();Alternate Precedence;activity logged task demo;activity;4;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.6574262405435245;0.8229702450335026;0.0;{'activity logged task demo': 0.5272130966186523, 'activity': 0.91131991147995};0.7192665040493011;430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity;0.7044827107872282;['Activity logged: Task (Demo Preparation)'];['Activity logged: Task (POC)'];430b5511-8c35-402b-b5f5-f7a2e4ac301f_Object_activity logged task demo_Object_activity;9
ab3a484c-8b6a-4a43-b50d-cca62c4eedcb_Object_activity logged_Object_activity;Multi-object;;Alternate Response[activity logged, activity] | | |;Binary;set();set();Alternate Response;activity logged;activity;4;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;0.8454774916172028;0.7864259655276934;0.0;{'activity logged': 0.5494124293327332, 'activity': 1.0000001192092896};0.7747062742710114;ab3a484c-8b6a-4a43-b50d-cca62c4eedcb_Object_activity logged_Object_activity;0.7543785039867674;['Activity logged: Call', 'Activity logged: Email'];['Activity logged: Task (POC)'];ab3a484c-8b6a-4a43-b50d-cca62c4eedcb_Object_activity logged_Object_activity;26085
ff9a4659-fdaf-4db8-a004-4514f56c7935_Object_approval process_Object_opportunity account;Multi-object;;Alternate Precedence[approval process, opportunity account] | | |;Binary;set();set();Alternate Precedence;approval process;opportunity account;2;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;0.7458054721355438;0.8729070425033569;0.0;{'approval process': 0.6238682270050049, 'opportunity account': 0.5655301809310913};0.5946992039680481;ff9a4659-fdaf-4db8-a004-4514f56c7935_Object_approval process_Object_opportunity account;0.5638007121426719;['Quote Approval process started'];['Opportunity Account updated'];ff9a4659-fdaf-4db8-a004-4514f56c7935_Object_approval process_Object_opportunity account;249
383b995e-bd9e-481a-91ee-91e4c09949e1_Object_create quote_Object_remove quote;Activity;;Alternate Succession[create quote, remove quote] | | |;Binary;set();set();Alternate Precedence;create quote;remove quote;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.5875682110587757;0.8559803730652978;0.0;{'create quote': 0.6697980165481567, 'remove quote': 0.5228116512298584};0.5963048338890076;383b995e-bd9e-481a-91ee-91e4c09949e1_Object_create quote_Object_remove quote;0.5766743505001068;['Create Quote'];['Remove Quote'];383b995e-bd9e-481a-91ee-91e4c09949e1_Object_create quote_Object_remove quote;4586
3dbfc4c9-20cf-40e2-a5de-df9331b75c7b_Object_create quote_Object_remove quote;Activity;;Succession[create quote, remove quote] | | |;Binary;set();set();Precedence;create quote;remove quote;4;{1} occurs if and only if it is followed by {2};0.7124181290467579;0.44993858536084497;0.0;{'create quote': 0.6697980165481567, 'remove quote': 0.5228116512298584};0.5963048338890076;3dbfc4c9-20cf-40e2-a5de-df9331b75c7b_Object_create quote_Object_remove quote;0.5766743505001068;['Create Quote'];['Remove Quote'];3dbfc4c9-20cf-40e2-a5de-df9331b75c7b_Object_create quote_Object_remove quote;4414
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added procurement;Activity;;Alternate Succession[customer contact role added billing contact, customer contact role added procurement] | | |;Binary;set();set();Alternate Response;customer contact role added billing contact;customer contact role added procurement;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added procurement': 0.5689608454704285};0.5405018627643585;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added procurement;0.5264516764879227;['Customer contact role added: Billing Contact'];['Customer contact role added: Procurement'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added procurement;3140
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added billing contact, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added billing contact;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added partner': 0.583226203918457};0.5476345419883728;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner;0.5328710877895355;['Customer contact role added: Billing Contact'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner;3188
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;Activity;;Alternate Succession[customer contact role added billing contact, customer contact role added economic buyer] | | |;Binary;set();set();Alternate Response;customer contact role added billing contact;customer contact role added economic buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added economic buyer': 0.5236126184463501};0.5178277492523193;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;0.5060449743270874;['Customer contact role added: Billing Contact'];['Customer contact role added: Economic Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;3175
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;Activity;;Alternate Succession[customer contact role added billing contact, customer contact role added technical buyer] | | |;Binary;set();set();Alternate Response;customer contact role added billing contact;customer contact role added technical buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added technical buyer': 0.5193029642105103};0.5156729221343994;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;0.5041056299209595;['Customer contact role added: Billing Contact'];['Customer contact role added: Technical Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;3195
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added billing contact, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added billing contact;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5252248048782349;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;0.5127023243904114;['Customer contact role added: Billing Contact'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;3135
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added procurement;Activity;;Alternate Succession[customer contact role added influencer, customer contact role added procurement] | | |;Binary;set();set();Alternate Response;customer contact role added influencer;customer contact role added procurement;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added procurement': 0.5689608454704285};0.5484521687030792;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added procurement;0.5336069518327713;['Customer contact role added: Influencer'];['Customer contact role added: Procurement'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added procurement;685
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added influencer, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added influencer;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added partner': 0.583226203918457};0.5555848479270935;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added partner;0.5400263631343842;['Customer contact role added: Influencer'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added influencer_Object_customer contact role added partner;606
